"age","sex","mot","anx","val","sec","ple","mot_2","anx_2","val_2","sec_2","ple_2"
22,"F",18,20,15,13,12,16,20,15,16,11
19,"F",22,20,15,18,8,17,17,18,18,7
21,"F",21,18,14,12,9,17,16,14,17,12
20,"F",16,24,17,6,7,14,17,19,14,10
21,"F",15,14,13,8,13,20,20,18,15,19
19,"F",23,21,9,7,5,14,14,14,17,11
20,"F",15,10,15,14,11,17,12,14,18,12
25,"M",16,13,16,16,15,16,12,15,15,13
22,"M",13,15,17,15,15,15,15,15,15,15
22,"F",16,16,14,16,14,15,11,14,17,11
25,"F",17,15,16,18,9,15,16,20,18,10
21,"F",16,11,16,16,13,16,15,19,16,13
20,"F",10,14,19,18,18,11,15,15,15,15
23,"F",14,15,15,15,14,16,10,15,15,16
21,"F",15,13,17,17,12,12,18,17,16,17
18,"M",14,12,15,18,15,15,15,17,18,15
21,"M",11,11,5,5,5,15,16,19,16,17
21,"F",15,21,16,13,11,12,14,16,18,13
20,"F",16,19,22,13,14,15,14,21,17,12
20,"F",13,21,17,13,14,12,14,17,18,13
23,"F",25,14,10,15,6,19,7,17,20,12
21,"M",11,11,5,5,5,25,25,25,25,25
19,"M",14,14,17,13,15,11,14,18,16,17
21,"F",15,11,17,18,17,16,11,16,20,17
20,"M",15,19,9,12,6,14,10,13,20,18
19,"F",11,20,19,16,9,11,14,19,20,13
20,"F",13,19,17,16,14,12,20,24,15,20
21,"M",14,10,18,16,13,13,11,17,18,16
19,"F",16,20,18,18,9,13,10,16,21,16
18,"F",19,20,20,18,10,16,12,21,21,16
20,"F",11,8,19,21,12,14,10,18,20,16
23,"M",14,16,18,19,13,12,10,17,21,16
21,"M",12,10,18,18,15,12,10,17,20,17
19,"F",11,18,20,18,15,9,12,18,23,13
20,"M",15,19,9,12,6,14,10,19,20,19
22,"F",13,15,18,19,14,16,10,21,20,19
20,"F",8,11,20,21,15,13,11,21,21,16
20,"F",8,11,20,21,15,13,12,20,21,19
20,"M",13,15,22,13,14,11,8,21,21,13
20,"F",11,18,21,19,12,11,7,18,18,18
20,"F",15,20,22,15,10,10,14,24,19,18
22,"F",14,15,19,16,9,12,9,19,21,18
22,"F",16,19,13,12,8,8,10,22,20,15
20,"F",13,16,14,20,13,9,10,20,21,20
19,"F",14,13,16,19,17,12,9,19,20,24
20,"F",16,16,15,18,15,11,5,21,22,19
